user_id,sec,sessions_completed,gender,experience_level,estimate_birth_day,focus,start_date
16,225,1380,m,"{""mindfulness"":""low""}",1982-03-14 04:32:24.435+00,mindfulness,2015-04-09 20:50:12.418+00
41,1795,19562,f,"{""yoga"":""medium""}",1969-04-21 13:25:48.392+00,yoga,
104,3750,45846,f,"{""mindfulness"":""high""}",1958-04-24 20:23:59.469+00,mindfulness,
131,635,1438,f,"{""mindfulness"":""medium""}",1968-04-27 23:50:42.827+00,mindfulness,
155,810,43444,f,"{""mindfulness"":""high""}",1963-04-25 20:15:37.788+00,mindfulness,
196,3095,6700,m,"{""yoga"":""high""}",1985-07-06 03:58:07.285+00,yoga,
206,700,1238,m,"{""yoga"":""medium""}",1982-04-30 15:55:26.081+00,yoga,
213,625,6928,f,"{""mindfulness"":""medium""}",1979-05-07 16:42:15.849+00,mindfulness,
216,1035,1383,m,"{""mindfulness"":""medium""}",1985-04-27 17:13:14.506+00,mindfulness,
249,1560,654,m,"{""mindfulness"":""medium""}",1982-04-21 19:41:59.814+00,mindfulness,
298,2965,3068,m,"{""mindfulness"":""none""}",1979-07-14 14:43:17.911+00,mindfulness,
308,1805,901,f,"{""yoga"":""medium""}",1969-04-26 13:34:27.623+00,yoga,
349,80,47,m,"{""mindfulness"":""medium""}",1964-05-12 09:54:36.95+00,mindfulness,
368,805,483,m,"{""yoga"":""medium""}",1976-06-29 22:14:54.572+00,yoga,
384,260,747,,"{""mindfulness"":""none""}",,mindfulness,
385,45,18,m,"{""mindfulness"":""none""}",1978-04-24 03:15:41.882+00,mindfulness,
393,155,31,f,"{""mindfulness"":""high""}",1974-08-06 22:48:51.027+00,mindfulness,
402,1605,2600,f,"{""mindfulness"":""high""}",1981-07-16 13:47:20.38+00,mindfulness,2015-04-16 20:07:43.795+00
405,115,48,m,"{""mindfulness"":""medium""}",1984-04-24 17:46:28.184+00,mindfulness,
411,340,312,f,"{""yoga"":""none""}",1985-04-28 21:19:41.63+00,yoga,
421,355,71,m,"{""mindfulness"":""medium""}",1990-04-21 14:35:59.028+00,mindfulness,2015-04-16 01:08:51.246+00
438,60,1027,f,"{""yoga"":""none""}",1991-07-29 22:55:09.678+00,yoga,2015-07-21 00:21:44.591+00
440,2505,4000,m,"{""mindfulness"":""low""}",1987-05-12 09:15:13.942+00,mindfulness,
452,690,276,f,"{""mindfulness"":""none""}",1985-04-28 06:45:38.863+00,mindfulness,
462,1310,786,m,"{""yoga"":""medium""}",1989-05-01 22:45:05.05+00,yoga,
473,60,82,m,"{""mindfulness"":""medium""}",1975-04-24 14:47:00.348+00,mindfulness,2015-04-27 01:06:04.587+00
476,1230,738,f,"{""mindfulness"":""medium""}",1994-04-21 06:05:10.118+00,mindfulness,
477,135,27,m,"{""mindfulness"":""medium""}",1961-09-13 08:54:23.573+00,mindfulness,
478,1695,2824,f,"{""mindfulness"":""medium""}",1957-04-20 23:44:36.869+00,mindfulness,
486,2990,3588,f,"{""mindfulness"":""low""}",1991-05-14 20:18:02.762+00,mindfulness,2015-04-19 20:04:12.453+00
497,1805,361,m,"{""yoga"":""medium""}",1979-04-27 12:46:42.531+00,yoga,
499,1900,3675,f,"{""mindfulness"":""none""}",1985-04-20 23:58:57.862+00,mindfulness,
503,2455,1893,m,"{""mindfulness"":""low""}",1994-05-07 12:42:32.388+00,mindfulness,
530,45,9,f,"{""mindfulness"":""low""}",1985-04-21 14:17:05.259+00,mindfulness,
531,1840,32900,m,"{""mindfulness"":""none""}",1983-04-21 15:13:37.702+00,mindfulness,
532,35,160,m,"{""mindfulness"":""medium""}",1981-04-21 15:45:40.537+00,mindfulness,
537,145,29,f,"{""yoga"":""medium""}",1987-04-21 19:21:33.32+00,yoga,
538,80,16,f,"{""mindfulness"":""none""}",1985-04-21 19:23:50.607+00,mindfulness,
539,10,2,f,"{""yoga"":""medium""}",1957-04-21 19:50:37.32+00,yoga,
542,15,3,f,"{""mindfulness"":""medium""}",1969-04-21 22:09:27.176+00,mindfulness,
547,175,35,f,"{""mindfulness"":""low""}",1966-04-21 23:01:06.548+00,mindfulness,
552,115,23,m,"{""mindfulness"":""medium""}",1979-04-22 00:01:10.945+00,mindfulness,
554,485,97,f,"{""mindfulness"":""none""}",1994-04-22 02:43:19.623+00,mindfulness,
556,2400,21625,f,"{""mindfulness"":""low""}",1990-06-15 17:45:44.225+00,mindfulness,
558,725,435,f,"{""mindfulness"":""medium""}",1985-04-22 07:18:25.647+00,mindfulness,
559,30,6,f,"{""mindfulness"":""low""}",1985-04-22 07:47:49.637+00,mindfulness,
561,55,11,f,"{""mindfulness"":""high""}",1977-04-22 12:12:56.157+00,mindfulness,
563,40,8,m,"{""mindfulness"":""medium""}",1975-04-22 14:35:32.26+00,mindfulness,
564,265,159,f,"{""mindfulness"":""medium""}",1985-04-22 15:14:04.707+00,mindfulness,
566,140,28,m,"{""mindfulness"":""low""}",1981-04-22 15:42:49.019+00,mindfulness,
570,1280,768,m,"{""mindfulness"":""low""}",1964-04-22 18:35:27.764+00,mindfulness,
573,10,2,f,"{""mindfulness"":""low""}",1970-04-23 14:16:32.673+00,mindfulness,
580,10,2,m,"{""mindfulness"":""low""}",1963-04-23 04:40:39.229+00,mindfulness,
581,240,48,f,"{""yoga"":""high""}",1977-04-23 10:45:57.8+00,yoga,
587,310,364,f,"{""mindfulness"":""low""}",1960-04-23 17:15:34.687+00,mindfulness,
601,10,2,f,"{""mindfulness"":""none""}",1985-04-23 19:54:44.783+00,mindfulness,
606,170,34,m,"{""mindfulness"":""medium""}",1962-04-24 00:16:35.453+00,mindfulness,
607,1310,2213,f,"{""yoga"":""high""}",1976-04-24 01:51:59.718+00,yoga,
609,10,2,f,"{""mindfulness"":""medium""}",1980-04-24 04:27:19.356+00,mindfulness,
611,1830,613,m,"{""yoga"":""none""}",1988-04-24 04:33:08.625+00,yoga,
613,1605,1605,f,"{""yoga"":""high""}",1989-04-24 09:40:11.147+00,yoga,
622,95,19,m,"{""mindfulness"":""medium""}",1975-04-24 19:08:44.223+00,mindfulness,
626,540,216,m,"{""mindfulness"":""medium""}",1955-04-24 20:56:35.208+00,mindfulness,
647,445,178,f,"{""mindfulness"":""medium""}",1956-04-25 11:03:20.276+00,mindfulness,
648,685,411,m,"{""mindfulness"":""medium""}",1985-04-25 11:58:56.354+00,mindfulness,
651,2100,12264,f,"{""yoga"":""medium""}",1980-04-25 19:04:47.039+00,yoga,
